Date,Open,High,Low,Close,Adj Close,Volume
2016-02-05,60.279999,60.650002,58.529999,59.400002,57.471016,1970600
2016-02-08,58.650002,60.580002,57.849998,60.209999,58.254715,2041000
2016-02-09,59.970001,62.209999,59.950001,61.490002,59.493149,1273900
2016-02-10,61.930000,62.580002,60.580002,60.880001,58.902954,993500
2016-02-11,59.330002,60.470001,58.930000,59.970001,58.022511,1044800
2016-02-12,61.459999,61.540001,60.080002,61.310001,59.318993,783000
2016-02-16,62.549999,62.610001,60.939999,61.660000,59.657627,883400
2016-02-17,61.889999,63.209999,61.830002,62.959999,60.915405,986000
2016-02-18,63.189999,63.529999,62.689999,62.880001,60.838009,1001700
2016-02-19,62.529999,63.160000,62.230000,62.930000,60.886383,899600
2016-02-22,64.169998,64.339996,63.240002,63.549999,61.486252,1145700
2016-02-23,64.470001,64.949997,63.080002,63.139999,61.089561,1343800
2016-02-24,62.250000,63.820000,62.250000,63.660000,61.592678,1011300
2016-02-25,63.880001,64.529999,63.360001,64.510002,62.415077,1190300
2016-02-26,64.730003,65.099998,63.810001,63.849998,61.776508,790800
2016-02-29,63.959999,64.389999,62.790001,63.290001,61.234695,1373700
2016-03-01,63.820000,64.419998,63.169998,64.269997,62.182865,1157300
2016-03-02,64.989998,64.989998,63.580002,64.489998,62.395718,1778800
2016-03-03,64.559998,65.239998,63.860001,65.199997,63.082664,880700
2016-03-04,65.250000,65.489998,64.080002,64.940002,62.831112,1176900
2016-03-07,64.769997,64.900002,63.959999,64.239998,62.153835,760800
2016-03-08,63.860001,65.239998,63.799999,64.870003,62.763386,953800
2016-03-09,65.410004,65.949997,64.870003,65.370003,63.247154,749200
2016-03-10,64.800003,65.080002,63.110001,64.970001,63.101460,2353500
2016-03-11,65.480003,66.400002,64.540001,65.980003,64.082420,1109400
2016-03-14,65.709999,67.279999,65.570000,66.830002,64.907967,850100
2016-03-15,66.570000,67.610001,66.500000,67.040001,65.111923,1237800
2016-03-16,66.500000,66.949997,66.169998,66.610001,64.694298,1207100
2016-03-17,66.639999,67.010002,65.769997,65.849998,63.956158,1891800
2016-03-18,65.870003,66.589996,63.889999,64.510002,62.654690,4397200
2016-03-21,64.250000,64.500000,63.680000,64.269997,62.421593,3101300
2016-03-22,64.099998,65.459999,63.750000,65.419998,63.538525,1504000
2016-03-23,64.610001,66.360001,64.519997,65.639999,63.752197,1584000
2016-03-24,65.349998,65.650002,63.799999,64.019997,62.178783,1560600
2016-03-28,64.339996,65.000000,64.070000,64.680000,62.819801,792100
2016-03-29,64.669998,65.580002,64.669998,65.570000,63.684208,1155800
2016-03-30,66.029999,66.690002,64.839996,65.169998,63.295719,1350400
2016-03-31,65.389999,66.550003,65.169998,66.379997,64.470909,1800300
2016-04-01,66.120003,66.660004,65.599998,66.089996,64.189247,1447500
2016-04-04,66.389999,66.389999,64.870003,65.550003,63.664787,1318300
2016-04-05,65.150002,65.620003,64.900002,64.980003,63.111183,1091700
2016-04-06,64.809998,65.029999,63.930000,64.949997,63.082043,1245200
2016-04-07,64.680000,65.629997,63.779999,64.260002,62.411884,938200
2016-04-08,64.400002,64.400002,63.480000,63.650002,61.819424,722000
2016-04-11,64.169998,64.699997,63.730000,64.279999,62.431305,1037600
2016-04-12,63.650002,64.050003,61.759998,63.150002,61.333805,1978400
2016-04-13,63.439999,64.169998,63.209999,63.950001,62.110798,1265600
2016-04-14,63.369999,64.330002,63.369999,63.669998,61.838848,677600
2016-04-15,63.820000,64.519997,63.500000,64.440002,62.586708,1272500
2016-04-18,64.029999,64.550003,63.900002,64.139999,62.295330,723500
2016-04-19,64.300003,64.529999,63.599998,64.169998,62.324467,856600
2016-04-20,64.129997,64.349998,63.759998,64.129997,62.285618,735500
2016-04-21,63.980000,64.339996,63.540001,63.810001,61.974827,625200
2016-04-22,63.700001,64.430000,63.549999,63.990002,62.149651,675600
2016-04-25,63.750000,64.199997,63.529999,64.169998,62.324467,649900
2016-04-26,64.209999,64.720001,63.910000,64.410004,62.557568,1249700
2016-04-27,65.089996,65.250000,63.590000,64.129997,62.285618,1163600
2016-04-28,63.590000,64.389999,62.669998,62.860001,61.052143,865800
2016-04-29,62.580002,62.580002,61.250000,61.709999,59.935215,1119000
2016-05-02,61.740002,63.180000,61.570000,63.009998,61.197830,748300
2016-05-03,62.090000,62.480000,61.619999,62.270000,60.479111,462300
2016-05-04,61.950001,62.970001,61.950001,62.580002,60.780201,836100
2016-05-05,62.689999,63.400002,62.689999,63.200001,61.382366,846700
2016-05-06,63.169998,64.260002,62.939999,64.029999,62.188496,1031100
